aaeB	-2.82	-2.931	-2.442	-2.459	-2.327	-1.327	-1.678	-1.753	0.027
aaeR	-0.979	-0.918	-0.767	-0.334	-0.886	-0.45	-0.533	-0.321	-0.089
aaeX	-0.881	-1.685	-0.927	-0.316	-1.073	-0.45	-0.473	-0.259	-0.442
aas	1.462	1.28	1.205	1.18	1.382	1.197	1.462	1.369	-0.124
aat	0.825	0.907	0.526	0.59	0.896	0.403	0.714	0.234	1.121
abgA	-0.628	-0.625	-0.567	-0.37	-0.626	-0.735	-0.374	-0.484	-0.138
abgB	-0.515	-0.46	-0.429	-0.315	-0.215	-0.204	-0.382	-0.099	-0.176
abgR	-0.004	-0.015	-0.153	0.039	0.072	-0.077	0.099	-0.071	-0.003
abgT	-0.808	-0.586	-0.588	-0.388	-0.401	-0.196	-0.543	-0.469	0.158
abrB	-1.844	-1.597	-1.804	-1.099	-1.537	-1.543	-1.506	-1.228	0.422
accA	1.426	1.271	1.18	1.113	1.589	1.11	1.512	1.207	-0.14
accB	1.776	1.55	1.689	1.631	1.734	0.963	1.786	1.631	0.771
accC	1.529	1.555	1.546	1.325	1.423	1.392	1.598	1.448	0.438
accD	2.026	1.862	1.675	1.71	1.92	1.543	1.946	1.776	-0.183
aceB	1.955	1.883	2.145	1.844	1.987	1.752	2.465	2.156	0.091
aceE	-1.088	-1.297	-1.007	-0.994	-0.935	-1.119	-0.842	-0.647	-1.09
aceF	-1.003	-1.144	-0.988	-1.187	-0.912	-0.979	-0.918	-0.913	-1.008
ackA	0.976	0.712	0.941	0.927	1.124	0.838	0.883	0.974	-0.965
acnA	-1.005	-1.176	-1.097	-1.14	-1.061	-0.985	-1.007	-0.99	-0.648
acnB	0.611	0.655	0.6	0.397	0.636	0.634	0.75	0.559	-0.296
acpH	-0.012	-0.015	-0.059	0.053	-0.088	-0.209	0.179	0.139	0.473
acpP	1.494	1.176	1.308	1.271	1.126	1.327	1.238	0.986	-0.448
acpS	0.638	0.531	0.604	0.546	0.534	0.122	0.502	0.542	-0.127
acpT	-0.237	-0.111	-0.152	-0.106	0.141	0.175	0.073	-0.185	-0.246
acrA	0.791	0.693	0.869	0.606	0.877	0.361	0.86	0.873	0.327
acrD	-0.468	-0.524	-0.501	-0.387	-0.239	-0.176	-0.362	-0.423	0.355
acrZ	-0.189	-0.358	-0.228	-0.26	-0.241	-0.142	-0.077	-0.192	-0.024
acs	1.248	1.238	1.298	0.914	1.246	1.283	1.459	1.235	-0.301
actP	-0.181	-0.224	-0.062	-0.084	-0.168	-0.274	0.02	-0.113	-0.059
ada	0.561	0.17	0.558	0.434	0.371	0.701	0.659	0.66	0.161
add	0.322	0.699	0.279	0.363	0.301	0.58	0.407	0.416	-0.363
adeD	0.188	0.088	0.314	0.145	0.021	0.126	0.281	0.18	-0.783
adeP	0.667	0.689	0.557	0.347	0.798	-0.296	0.748	0.299	0.099
adeQ	-0.145	-0.231	-0.246	-0.559	-0.339	-0.296	-0.249	-0.379	0.227
adhE	1.047	1.107	1.234	1.411	1.157	1.155	1.469	1.496	-1.201
adhP	-1.758	-1.839	-1.438	-1.222	-1.535	-0.767	-1.573	-1.394	-0.55
adiA	-0.014	-0.28	0	0.255	0.088	0.347	0.248	0.51	0.21
adiC	-1.033	-0.956	-0.778	-0.896	-0.688	-0.627	-0.842	-0.914	-0.307
adiY	-0.308	-0.429	-0.268	-0.576	-0.199	-0.348	-0.403	-0.5	-0.495
adk	2.886	2.716	2.791	2.605	2.886	2.383	2.866	2.698	0.131
aegA	0.021	0.051	0	-0.032	0.111	-0.207	-0.011	-0.057	0.02
aes	-1.41	-1.164	-1.347	-1.148	-0.944	-0.833	-1.123	-1.043	-0.338
afuB	-0.86	-1.029	-1.104	-0.341	-0.655	-0.251	-0.826	-0.44	-0.089
afuC	-0.737	-0.663	-0.577	-0.277	-0.524	-0.233	-0.516	-0.351	-0.123
agaD	-0.928	-1.356	-0.907	-1.018	-0.938	-0.361	-0.84	-0.584	-0.098
agaI	-1.384	-0.977	-1.048	-1.484	-1.023	-0.293	-0.747	-1.362	-0.104
agaR	0.361	0.145	0.283	0.284	0.283	0.421	0.408	0.485	-0.005
agaS	-1.292	-1.334	-0.826	-0.602	-0.934	-1.038	-0.815	-0.611	-0.193
agp	0.072	0.045	-0.065	0.177	0.154	0.168	0.148	0.185	-0.076
ahpC	1.875	1.322	1.879	1.277	1.84	1.459	1.882	1.506	0.189
ahpF	1.062	0.834	0.956	0.873	1.091	0.499	1.016	1.016	0.03
ahr	-0.067	0.051	0.084	-0.215	-0.077	-0.059	0.011	-0.261	-0.369
aidB	-0.026	-0.542	-0.395	0.406	0.131	0.132	0.139	-0.098	-0.127
ais	0.148	-0.156	0.264	0.097	0.071	0.442	0.369	0.23	0.502
alaA	1.11	0.992	1.025	0.927	1.227	0.998	1.065	0.951	0.788
alaC	-0.345	-0.361	-0.218	-0.317	-0.247	-0.251	-0.198	-0.183	-0.161
alaE	-2.999	-2.344	-2.524	-2.224	-2.344	-2.341	-2.076	-2.24	-2.341
aldA	1.076	0.826	0.505	0.452	0.832	-0.057	0.757	0.436	1.363
aldB	-0.612	-0.68	-0.681	-0.642	-0.5	-0.432	-0.569	-0.594	-0.114
alkA	-0.626	-0.676	-0.641	-0.325	-0.385	-0.453	-0.626	-0.425	-0.264
alkB	-0.659	-0.732	-0.68	-0.694	-0.677	-0.652	-0.597	-0.588	0.347
allA	0.114	0.326	0.294	-0.171	-0.071	-0.376	-0.277	-0.291	-0.413
allB	-0.054	-0.173	-0.099	-0.472	-0.077	-0.205	-0.039	-0.097	-0.221
allC	0.098	-0.011	0.164	0.054	0.375	0.058	0.301	0.227	-0.63
allD	-0.35	-0.403	-0.216	-0.286	-0.008	-0.198	-0.249	-0.431	-0.293
allE	0.705	0.368	0.544	0.407	0.613	0.671	0.539	0.524	-0.449
allR	1.408	1.383	1.237	1.214	1.368	1.186	1.478	1.248	-0.093
allS	-0.058	-0.242	-0.132	-0.249	-0.275	-0.406	-0.196	-0.223	-0.16
alr	0.728	0.761	0.868	0.747	0.953	0.665	0.987	0.875	0.409
alsA	-1.821	-1.595	-1.686	-1.573	-1.727	-1.406	-1.631	-1.614	-0.172
alsB	-0.258	-0.551	-0.288	-0.556	-0.581	-0.232	-0.315	-0.282	-0.121
alsC	-0.897	-0.82	-0.463	-0.383	-0.687	-0.276	-0.287	-0.266	-0.139
alsE	-0.477	-0.231	-0.37	-0.355	-0.243	-0.511	-0.116	-0.445	-0.245
alx	-0.318	-0.449	-0.518	-0.357	-0.226	-0.22	-0.402	-0.456	0.035
amiA	0	-0.258	0.098	0.183	0.076	-0.113	-0.044	-0.033	0.315
amiB	-0.065	-0.077	0.062	-0.225	0.057	-0.323	-0.056	-0.106	-0.087
amiC	1.439	1.469	0.955	1.293	1.613	0.883	1.118	0.851	-0.837
