Topall,rank
dnaJ,1
rplB,2
groL,3
rpsC,4
rluB,5
rpsJ,6
deaD,7
rlmN,8
rpoB,9
proC,10
rplE,11
rpsN,12
rplA,13
rpsM,14
tig,15
yfiF,16
rplL,17
lon,18
pykF,19
rpoC,20
groS,21
rplD,22
sucC,23
topA,24
metK,25
pnp,26
tgt,27
infB,28
rpsK,29
lysU,30
nagB,31
fusA,32
rplM,33
rplN,34
rluC,35
pgk,36
rpsI,37
prs,38
rlmE,39
infC,40
rpsH,41
rplW,42
rpsL,43
ssb,44
ftsH,45
atpD,46
mreB,47
sucB,48
grpE,49
nuoC,50
tpiA,51
eno,52
rpoA,53
add,54
ffh,55
rnr,56
gltA,57
yadG,58
tsaD,59
gabD,60
rplT,61
sucA,62
alaS,63
gcvP,64
thrS,65
gpsA,66
rpsS,67
ydfG,68
iscU,69
mutS,70
rpsP,71
gapA,72
leuS,73
nrdA,74
serB,75
dnaK,76
hinT,77
rpe,78
purA,79
obgE,80
clpP,81
rpsG,82
metG,83
qmcA,84
sdhB,85
prfA,86
hemB,87
cysJ,88
atpG,89
ybbO,90
sucD,91
glmS,92
rplQ,93
recQ,94
rplF,95
ybgI,96
aspS,97
rplS,98
rlmF,99
folD,100
atpA,101
argS,102
trpS,103
purL,104
accC,105
clpX,106
tktB,107
gnd,108
pgm,109
nfi,110
bolA,111
glpK,112
iscS,113
dusB,114
ycbX,115
miaB,116
fdx,117
aceF,118
asnS,119
yafV,120
trxA,121
rnhA,122
rplP,123
talB,124
rplK,125
gadB,126
prlC,127
aspC,128
ycgM,129
yebC,130
era,131
atpC,132
pgi,133
fadI,134
ahpC,135
clpB,136
proS,137
ispU,138
pdxH,139
rplO,140
ubiE,141
gltX,142
sspA,143
rplX,144
pepP,145
pepA,146
rbsK,147
pheS,148
clpA,149
serC,150
mutL,151
tyrS,152
pepN,153
grxD,154
argG,155
moeA,156
selB,157
alaA,158
galE,159
hpt,160
rlmB,161
acpP,162
leuA,163
pyrD,164
ridA,165
carB,166
gpmA,167
map,168
nuoE,169
dtd,170
xthA,171
fadJ,172
purC,173
yqaB,174
apt,175
sseA,176
mnmE,177
yniA,178
udk,179
gyrA,180
msbA,181
rapA,182
srmB,183
yicI,184
ushA,185
aidB,186
guaC,187
ybdL,188
cutA,189
polA,190
plsB,191
coaE,192
betB,193
gmd,194
gyrB,195
rpmB,196
purB,197
rpmA,198
glnS,199
ibpA,200
ybhF,201
glyA,202
msrB,203
hrpB,204
hupB,205
nusG,206
ybeZ,207
nadC,208
glmM,209
cueO,210
rpmG,211
rsmH,212
cyoE,213
yeiG,214
trmB,215
dcyD,216
pncA,217
hslU,218
gltB,219
asnB,220
panB,221
ghrB,222
erpA,223
bamA,224
phoA,225
gadA,226
rplI,227
yidK,228
upp,229
csrA,230
rpoD,231
pth,232
hfq,233
pcnB,234
gstB,235
nuoI,236
rluD,237
gmhB,238
iscA,239
ndh,240
ygfZ,241
hupA,242
rne,243
ymdB,244
dcm,245
cyoC,246
gloA,247
nuoG,248
rplR,249
ftnA,250
yccA,251
astC,252
tktA,253
folA,254
yjjU,255
aes,256
panC,257
carA,258
nudL,259
rpsD,260
yajO,261
pyrH,262
yejF,263
hflX,264
rluA,265
leuC,266
rpsT,267
rlmL,268
ybbN,269
degQ,270
argD,271
zwf,272
rhlE,273
pflB,274
uidA,275
mutY,276
acnA,277
yheS,278
deoA,279
dauA,280
rpsQ,281
rplU,282
degP,283
yhbY,284
nuoF,285
kdsA,286
yhjX,287
thyA,288
ampH,289
der,290
yceA,291
lhgO,292
moeB,293
ppa,294
guaB,295
fabZ,296
lysA,297
plsC,298
dnaQ,299
cca,300
frlA,301
katE,302
dnaX,303
smpB,304
galM,305
yfhM,306
yegU,307
mutM,308
hslV,309
fabD,310
ileS,311
rlmI,312
yrdA,313
bglX,314
nfo,315
potF,316
zntA,317
lipA,318
ftsY,319
frr,320
ypeA,321
msrC,322
ppiC,323
rppH,324
dps,325
yfdE,326
typA,327
ypdF,328
rpsR,329
xdhD,330
glpF,331
curA,332
bioB,333
ycaC,334
glsA1,335
ndk,336
pepB,337
phrB,338
tdcB,339
rpsO,340
pheA,341
rpsA,342
ung,343
rfbB,344
ilvI,345
yqjG,346
mnmG,347
kbl,348
gloB,349
cyoB,350
ygfA,351
rsgA,352
can,353
qorB,354
accA,355
rnc,356
serS,357
hisB,358
cbpA,359
cysN,360
ppiB,361
fdhF,362
rpsU,363
hisS,364
udp,365
frmB,366
pfkA,367
hrpA,368
gatY,369
nadK,370
glyQ,371
glpD,372
atpH,373
yfaY,374
yihQ,375
aroG,376
aroB,377
rraA,378
rarA,379
ribC,380
ilvB,381
cspC,382
thrC,383
php,384
hyi,385
kdsB,386
mlaF,387
dxs,388
ybaL,389
sufS,390
ppsA,391
selD,392
yigB,393
yfeW,394
ftsZ,395
fabF,396
yraR,397
parC,398
mnmA,399
cspE,400
glnQ,401
hldD,402
rpiB,403
gpr,404
yfcH,405
ydgJ,406
fucU,407
dxr,408
nusA,409
fliY,410
ispA,411
nrdB,412
yqeF,413
thiD,414
ilvD,415
fklB,416
fixB,417
moaE,418
yhgF,419
lpxD,420
nnr,421
ygcU,422
puuC,423
recJ,424
rplJ,425
mdh,426
cysK,427
pqqL,428
accD,429
frmA,430
dapF,431
yqhD,432
trmH,433
oxc,434
sohB,435
tsaE,436
cspD,437
lplA,438
valS,439
ribB,440
gloC,441
tdcF,442
yfbR,443
ispH,444
rlmD,445
pgaC,446
yjgA,447
ibpB,448
uspG,449
dtpD,450
cheA,451
yfjD,452
hldE,453
prmB,454
yjiA,455
ppiA,456
ppc,457
bepA,458
ompA,459
tmk,460
folC,461
yjbQ,462
zapE,463
ruvB,464
ydiU,465
caiC,466
mntH,467
ilvH,468
pncB,469
holB,470
aas,471
prfB,472
ybdR,473
ydjX,474
yghA,475
malT,476
yoaA,477
tatC,478
ybiU,479
hxpA,480
nadE,481
cyaY,482
ilvA,483
preA,484
ggt,485
ebgA,486
birA,487
amyA,488
alkB,489
ubiF,490
gpmI,491
recN,492
ldhA,493
sufB,494
fumA,495
ycjY,496
yegT,497
roxA,498
galF,499
cspG,500
atpB,501
menB,502
sufD,503
bglB,504
engB,505
ucpA,506
trxC,507
pepT,508
trmO,509
yjhC,510
thiG,511
nudG,512
yidA,513
recD,514
aceA,515
ettA,516
fabG,517
ynbB,518
chrR,519
entF,520
def,521
yoaB,522
preT,523
sufC,524
hflC,525
tas,526
menI,527
yfbS,528
fadH,529
prfC,530
skp,531
wrbA,532
fabH,533
fmt,534
lpxA,535
yahK,536
deoD,537
elbB,538
yaiP,539
qorA,540
yidC,541
yigZ,542
acpS,543
minD,544
norV,545
treC,546
allR,547
thiC,548
nth,549
argA,550
cfa,551
ybhK,552
waaA,553
phoP,554
ogt,555
manA,556
corC,557
yhbU,558
fliI,559
dctA,560
pepE,561
mscL,562
ydiB,563
speA,564
mog,565
dapD,566
fkpA,567
alkA,568
yjdJ,569
accB,570
dapB,571
puuP,572
rimO,573
cyoA,574
agp,575
tsf,576
ybeY,577
lysS,578
talA,579
argP,580
atl,581
metF,582
rbsA,583
rhmD,584
ribA,585
ygfF,586
ligA,587
fabB,588
tyrA,589
thiE,590
galU,591
pmbA,592
slyD,593
pepD,594
ssuD,595
psuG,596
cdd,597
ubiB,598
glnB,599
glgC,600
ravA,601
