Topall,rank
metG,1
mutS,2
rplB,3
serS,4
rpoC,5
rpoB,6
prs,7
rpsK,8
rplE,9
sucC,10
rplN,11
thrS,12
tpiA,13
rpsJ,14
pgm,15
sucD,16
sucA,17
pepP,18
rpsL,19
sucB,20
proS,21
recQ,22
ubiB,23
lldD,24
sdhB,25
topA,26
tgt,27
rpsI,28
rpsG,29
rpsC,30
proA,31
rplK,32
leuS,33
rpsM,34
mnmE,35
rplL,36
trpS,37
trxA,38
pssA,39
yicI,40
talB,41
ydfG,42
purL,43
rpsP,44
nuoC,45
mutL,46
phoA,47
recA,48
rlmF,49
xthA,50
ycbX,51
nuoG,52
yjiA,53
tsf,54
ybbO,55
rnr,56
ushA,57
rapA,58
rplD,59
carB,60
purC,61
yqaB,62
pepN,63
rpsN,64
thrC,65
pnp,66
tktB,67
yejF,68
yniA,69
moeA,70
rplA,71
moaA,72
ndh,73
uacT,74
ssb,75
rplQ,76
otsA,77
tsaC,78
nadC,79
rplP,80
plsB,81
glmM,82
pth,83
rplF,84
yrdA,85
trmB,86
polA,87
ybgI,88
wrbA,89
panC,90
panB,91
ypeA,92
srmB,93
rplO,94
uvrD,95
yigB,96
yadG,97
pqqL,98
yqeF,99
ydgJ,100
rpmG,101
glsA1,102
ybdR,103
msrC,104
topB,105
rlmN,106
ybbN,107
nnr,108
ribD,109
yfhM,110
rplI,111
ppsA,112
kdsB,113
rppH,114
prfB,115
rlmI,116
rplW,117
nanM,118
ispA,119
malQ,120
ruvB,121
trmA,122
yidA,123
rplS,124
rplJ,125
secA,126
spoT,127
talA,128
tig,129
ybhK,130
roxA,131
rsgA,132
sufB,133
sufC,134
yaeR,135
selB,136
lhr,137
rpoD,138
rraA,139
zntA,140
rluB,141
kdgK,142
yfbR,143
hldE,144
lolD,145
lpxD,146
nudG,147
rpsD,148
rpoA,149
menI,150
rsuA,151
murE,152
norV,153
prmB,154
pyrH,155
sufD,156
yfcD,157
murG,158
pka,159
yfiF,160
ftsP,161
lpxB,162
parE,163
pepD,164
pepT,165
preT,166
rpoS,167
yfjK,168
yqhD,169
sohB,170
uspG,171
nadE,172
pta,173
waaA,174
ligA,175
potF,176
rpmB,177
pdeR,178
recD,179
uspF,180
rlmL,181
pflB,182
ytfL,183
mrcA,184
nikE,185
nrdD,186
pxpA,187
pykA,188
rdgC,189
recJ,190
rspA,191
tnaA,192
tsaE,193
ugpB,194
yafC,195
ydiJ,196
yoaB,197
yhbY,198
kdgR,199
mobB,200
ybgC,201
yjjU,202
gltI,203
leuD,204
malT,205
mukB,206
murB,207
murC,208
murI,209
rpsU,210
uvrB,211
ybeZ,212
yegV,213
ygfK,214
ygfT,215
yhfA,216
yidH,217
yjhP,218
znuC,219
rpsT,220
smpB,221
yfdH,222
putA,223
slyD,224
yhhX,225
wbbK,226
phoP,227
rpsA,228
tar,229
uvrC,230
yhbU,231
fliM,232
fliN,233
ldcC,234
lspA,235
mak,236
mobA,237
murF,238
narH,239
phnK,240
ravA,241
recC,242
rlhA,243
rlmJ,244
rluE,245
rpoH,246
sbcB,247
sdhD,248
secB,249
sixA,250
ugpA,251
xerD,252
ybiB,253
ycaO,254
yciF,255
ydjL,256
yeaO,257
ygaM,258
yicC,259
yjgA,260
yjiE,261
ymfD,262
nei,263
pdeC,264
rho,265
rne,266
skp,267
yjdJ,268
aaeA,269
aas,270
aat,271
abgT,272
accA,273
accB,274
accC,275
accD,276
aceA,277
aceE,278
aceF,279
ackA,280
acnA,281
acnB,282
acpP,283
acpS,284
acpT,285
acrA,286
acrB,287
acrD,288
acrF,289
actP,290
acuI,291
ada,292
add,293
ade,294
adhE,295
adiA,296
adk,297
