weak_Topall,ION_W_rank,ION_rank,label
groS,8,823,ION_W-TP
rplM,11,1398,ION_W-TP
metK,16,1059,ION_W-TP
pgk,23,1227,ION_W-TP
ffh,27,659,ION_W-TP
eno,28,603,ION_W-TP
fusA,29,739,ION_W-TP
infB,37,942,ION_W-TP
gapA,39,752,ION_W-TP
ftsH,46,723,ION_W-TP
grpE,55,824,ION_W-TP
adk,57,297,ION_W-TP
argS,58,335,ION_W-TP
asnS,59,353,ION_W-TP
tsaD,63,1562,ION_W-TP
map,64,1034,ION_W-TP
pheS,67,1231,ION_W-TP
msbA,72,1103,ION_W-TP
valS,76,1611,ION_W-TP
rpsH,79,1417,ION_W-TP
glmS,87,777,ION_W-TP
hisS,89,866,ION_W-TP
folD,92,700,ION_W-TP
nrdA,97,1159,ION_W-TP
gpsA,99,818,ION_W-TP
glnS,100,787,ION_W-TP
lldD,122,24,ION-FP
talB,127,41,ION-FP
rplK,132,32,ION-FP
nuoC,147,45,ION-FP
trxA,148,38,ION-FP
recA,158,48,ION-FP
proA,161,31,ION-FP
mnmE,165,35,ION-FP
ydfG,172,42,ION-FP
purL,173,43,ION-FP
yicI,184,40,ION-FP
ycbX,186,51,ION-FP
rapA,188,58,ION-FP
ybbO,191,55,ION-FP
rlmF,204,49,ION-FP
xthA,205,50,ION-FP
mutL,206,46,ION-FP
nuoG,219,52,ION-FP
phoA,233,47,ION-FP
yjiA,241,53,ION-FP
yqaB,242,62,ION-FP
carB,244,60,ION-FP
ushA,245,57,ION-FP
srmB,259,93,ION-FP
thrC,263,65,ION-FP
pepN,264,63,ION-FP
purC,267,61,ION-FP
moeA,271,70,ION-FP
yniA,272,69,ION-FP
yejF,285,68,ION-FP
ybgI,290,88,ION-FP
tktB,292,67,ION-FP
moaA,297,72,ION-FP
otsA,298,77,ION-FP
ndh,309,73,ION-FP
trmB,312,86,ION-FP
uacT,314,74,ION-FP
nadC,334,79,ION-FP
glmM,338,82,ION-FP
polA,347,87,ION-FP
panB,398,91,ION-FP
yrdA,402,85,ION-FP
panC,407,90,ION-FP
yadG,409,97,ION-FP
wrbA,420,89,ION-FP
uvrD,427,95,ION-FP
yigB,428,96,ION-FP
ypeA,445,92,ION-FP
yqeF,477,99,ION-FP
ydgJ,488,100,ION-FP
pqqL,493,98,ION-FP
