Topall,rank
ybcJ,1
pssA,2
spoT,3
dnaE,4
secA,5
wbbK,6
cspE,7
malP,8
rho,9
dnaX,10
pstB,11
holA,12
topB,13
rapA,14
mukB,15
kdgR,16
recA,17
narH,18
gcvP,19
mrcA,20
uvrB,21
ppsA,22
ftsQ,23
malK,24
rluE,25
cysI,26
acnA,27
aldA,28
yhhX,29
ygaM,30
uvrC,31
sufC,32
murC,33
pka,34
blc,35
tatC,36
yebV,37
parE,38
otsA,39
ligA,40
fliI,41
rsuA,42
recB,43
yebS,44
ydjL,45
gatD,46
ytfL,47
dctR,48
fdx,49
ftsB,50
ldcC,51
rspA,52
sufD,53
yeeR,54
yhjG,55
yigB,56
fryA,57
rng,58
aldB,59
apaH,60
rpoH,61
torZ,62
thrC,63
dxs,64
lhr,65
murE,66
mutL,67
hscB,68
yejF,69
rimI,70
nei,71
cadA,72
hyfG,73
mrcB,74
mukE,75
murG,76
ydfR,77
yodD,78
uvrD,79
dadX,80
moaA,81
phoE,82
trmA,83
cheR,84
ftsA,85
lpxB,86
oppB,87
ugpB,88
yciU,89
cho,90
coaD,91
ftsP,92
lolD,93
lspA,94
murI,95
recE,96
rimP,97
ubiB,98
yneG,99
helD,100
yhbY,101
bluF,102
malQ,103
ugpA,104
yjiM,105
hscC,106
yfjK,107
yjhP,108
gadB,109
preT,110
arpA,111
yjiN,112
lldD,113
mscK,114
rdgC,115
recF,116
rpoN,117
tsaC,118
yciF,119
yegV,120
mutH,121
yfcL,122
iclR,123
cspG,124
fliM,125
gltD,126
znuC,127
groS,128
fkpB,129
hda,130
nanM,131
glgP,132
ymfD,133
hupB,134
metK,135
ypfJ,136
cirA,137
proA,138
folD,139
murF,140
exbD,141
rpsP,142
recD,143
hycE,144
rpsU,145
ulaR,146
pcnB,147
uspG,148
aceE,149
tnaA,150
fdhE,151
fdnH,152
cedA,153
carB,154
sbcB,155
ycjF,156
narZ,157
yacG,158
yaeH,159
qmcA,160
yffS,161
csrD,162
argG,163
fabA,164
yiiM,165
greB,166
phnJ,167
thrS,168
ndh,169
nnr,170
tusA,171
aaeA,172
aas,173
aat,174
abgT,175
accA,176
accB,177
accC,178
accD,179
aceA,180
aceF,181
ackA,182
acnB,183
acpP,184
acpS,185
acpT,186
acrA,187
acrB,188
acrD,189
acrF,190
actP,191
acuI,192
ada,193
add,194
adhE,195
adiA,196
adk,197
aegA,198
aes,199
agaI,200
agaR,201
agp,202
ahpC,203
ahpF,204
aidB,205
alaA,206
alaC,207
alaS,208
alkA,209
alkB,210
allC,211
allE,212
allR,213
alsA,214
alsK,215
amiA,216
ampE,217
ampH,218
amyA,219
ansB,220
appC,221
apt,222
araG,223
arcA,224
arcB,225
argA,226
argD,227
argP,228
argR,229
argS,230
argT,231
arnA,232
arnF,233
aroA,234
aroB,235
aroE,236
aroG,237
aroH,238
aroK,239
arpB,240
artM,241
artP,242
artQ,243
asmA,244
asnA,245
asnB,246
asnS,247
aspA,248
aspC,249
aspS,250
asr,251
astC,252
astD,253
atl,254
atoD,255
atpA,256
atpB,257
atpC,258
atpD,259
atpF,260
atpG,261
atpH,262
baeR,263
baeS,264
bamA,265
barA,266
basR,267
basS,268
bcsA,269
bcsB,270
bcsG,271
bdcA,272
bepA,273
betB,274
bfr,275
bglB,276
bglF,277
bglG,278
bglX,279
bhsA,280
bioA,281
bioB,282
bioF,283
birA,284
bluR,285
bolA,286
brnQ,287
btsR,288
btsT,289
btuC,290
btuD,291
cadB,292
caiC,293
caiT,294
can,295
carA,296
cbpA,297
cbpM,298
cbrA,299
cca,300
ccmB,301
ccmE,302
ccmF,303
ccmH,304
cdd,305
cdgI,306
cfa,307
chaB,308
chbC,309
cheA,310
cheB,311
cheW,312
cheY,313
cheZ,314
chpS,315
chrR,316
clcB,317
clpA,318
clpB,319
clpP,320
clpS,321
clpX,322
clsC,323
cnu,324
coaE,325
cobB,326
codA,327
corC,328
cpdB,329
cpoB,330
cpxA,331
cpxP,332
cpxR,333
cra,334
creB,335
creC,336
crp,337
crr,338
csdA,339
csdE,340
csgA,341
csgB,342
csgD,343
csiE,344
cspA,345
cspB,346
cspC,347
cspD,348
cspI,349
csrA,350
cueO,351
curA,352
cusB,353
cusC,354
cusF,355
cusR,356
cusS,357
cutA,358
cvpA,359
cyaY,360
cydA,361
cydC,362
cydD,363
cynT,364
cyoA,365
cyoB,366
cyoC,367
cyoD,368
cyoE,369
cysA,370
cysB,371
cysD,372
cysJ,373
cysK,374
cysM,375
cysN,376
cysP,377
dacA,378
dadA,379
dam,380
damX,381
dapB,382
dapD,383
dapF,384
dauA,385
dcm,386
dcrB,387
dctA,388
dcuD,389
dcuR,390
dcyD,391
ddlA,392
ddpA,393
ddpB,394
ddpD,395
ddpX,396
deaD,397
dedA,398
def,399
degP,400
degQ,401
degS,402
deoA,403
deoB,404
deoD,405
der,406
dgcF,407
dgcJ,408
dgcM,409
dgcP,410
dgoR,411
dgt,412
dhaK,413
dhaM,414
dhaR,415
diaA,416
dicB,417
dinJ,418
dksA,419
dmsA,420
dmsB,421
dmsD,422
dnaA,423
dnaB,424
dnaC,425
dnaG,426
dnaJ,427
dnaK,428
dnaN,429
dnaQ,430
dnaT,431
dpiA,432
dppA,433
dppB,434
dppD,435
dps,436
dsbA,437
dsbC,438
dsbD,439
dsbE,440
dsbG,441
dsdX,442
dtd,443
dtpD,444
dusB,445
dusC,446
dxr,447
ebgA,448
ebgC,449
ecpC,450
eda,451
edd,452
efp,453
elaB,454
elbB,455
emrA,456
emrE,457
emrY,458
engB,459
eno,460
entB,461
entC,462
entE,463
entF,464
envZ,465
epmA,466
epmC,467
era,468
erfK,469
erpA,470
ettA,471
eutA,472
eutH,473
eutL,474
eutQ,475
evgA,476
evgS,477
exbB,478
fabB,479
fabD,480
fabF,481
fabG,482
fabH,483
fabI,484
fabZ,485
fadA,486
fadB,487
fadH,488
fadI,489
