weak_Topall,JDC_W_rank,JDC_rank,label
rplD,4,1242,JDC_W-TP
rplW,11,1259,JDC_W-TP
rpoA,14,1270,JDC_W-TP
mreB,18,917,JDC_W-TP
groS,21,128,JDC_W-TP
rpsC,22,1280,JDC_W-TP
rplB,24,1240,JDC_W-TP
rne,27,1226,JDC_W-TP
infC,28,760,JDC_W-TP
rpsD,30,1281,JDC_W-TP
rplM,31,1249,JDC_W-TP
csrA,37,350,JDC_W-TP
rpsN,38,1291,JDC_W-TP
rpmB,39,1263,JDC_W-TP
rnpA,45,1230,JDC_W-TP
ssb,48,1352,JDC_W-TP
rplL,51,1248,JDC_W-TP
rplU,54,1257,JDC_W-TP
rpoB,55,1271,JDC_W-TP
rplS,57,1255,JDC_W-TP
nusG,59,1000,JDC_W-TP
rplX,61,1260,JDC_W-TP
rpsJ,63,1287,JDC_W-TP
rpsA,68,1278,JDC_W-TP
rpoC,74,1272,JDC_W-TP
holB,76,698,JDC_W-TP
rpsM,82,1290,JDC_W-TP
trmD,83,1440,JDC_W-TP
rplT,85,1256,JDC_W-TP
prs,86,1121,JDC_W-TP
metK,87,135,JDC_W-TP
topA,97,1414,JDC_W-TP
rpsP,98,142,JDC_W-TP
rplF,100,1244,JDC_W-TP
narH,102,18,JDC-FP
gcvP,106,19,JDC-FP
mrcA,109,20,JDC-FP
uvrB,112,21,JDC-FP
ppsA,126,22,JDC-FP
malK,142,24,JDC-FP
rluE,143,25,JDC-FP
cysI,144,26,JDC-FP
acnA,145,27,JDC-FP
aldA,148,28,JDC-FP
yhhX,149,29,JDC-FP
ygaM,154,30,JDC-FP
uvrC,155,31,JDC-FP
sufC,159,32,JDC-FP
pka,166,34,JDC-FP
blc,178,35,JDC-FP
tatC,179,36,JDC-FP
yebV,180,37,JDC-FP
otsA,187,39,JDC-FP
fliI,194,41,JDC-FP
rsuA,195,42,JDC-FP
recB,211,43,JDC-FP
yebS,212,44,JDC-FP
ydjL,214,45,JDC-FP
gatD,215,46,JDC-FP
ytfL,222,47,JDC-FP
dctR,225,48,JDC-FP
fdx,226,49,JDC-FP
ftsB,227,50,JDC-FP
ldcC,228,51,JDC-FP
rspA,229,52,JDC-FP
sufD,230,53,JDC-FP
yeeR,231,54,JDC-FP
yhjG,232,55,JDC-FP
yigB,233,56,JDC-FP
fryA,234,57,JDC-FP
rng,235,58,JDC-FP
aldB,246,59,JDC-FP
apaH,247,60,JDC-FP
torZ,249,62,JDC-FP
thrC,253,63,JDC-FP
lhr,260,65,JDC-FP
mutL,268,67,JDC-FP
hscB,273,68,JDC-FP
yejF,274,69,JDC-FP
rimI,281,70,JDC-FP
nei,283,71,JDC-FP
cadA,290,72,JDC-FP
hyfG,291,73,JDC-FP
mrcB,292,74,JDC-FP
ydfR,295,77,JDC-FP
yodD,296,78,JDC-FP
uvrD,302,79,JDC-FP
dadX,363,80,JDC-FP
moaA,373,81,JDC-FP
phoE,374,82,JDC-FP
trmA,375,83,JDC-FP
cheR,379,84,JDC-FP
oppB,394,87,JDC-FP
ugpB,395,88,JDC-FP
yciU,402,89,JDC-FP
cho,429,90,JDC-FP
ftsP,431,92,JDC-FP
recE,435,96,JDC-FP
rimP,436,97,JDC-FP
yneG,438,99,JDC-FP
helD,452,100,JDC-FP
