weak_Topall,NCCO_W_rank,NCCO_rank,label
rplW,8,107,NCCO_W-TP
rpoA,14,136,NCCO_W-TP
mreB,23,1038,NCCO_W-TP
rpsD,24,126,NCCO_W-TP
rne,26,216,NCCO_W-TP
groS,30,776,NCCO_W-TP
rpmB,32,163,NCCO_W-TP
spoT,33,111,NCCO_W-TP
infC,34,891,NCCO_W-TP
rplM,39,1324,NCCO_W-TP
csrA,40,451,NCCO_W-TP
rplS,42,112,NCCO_W-TP
rnpA,46,1316,NCCO_W-TP
secA,52,113,NCCO_W-TP
rplU,53,1327,NCCO_W-TP
rplX,59,1329,NCCO_W-TP
nusG,60,1114,NCCO_W-TP
rpsA,61,217,NCCO_W-TP
dnaE,65,531,NCCO_W-TP
lpxD,80,130,NCCO_W-TP
rplT,81,1326,NCCO_W-TP
holB,85,823,NCCO_W-TP
dnaX,86,538,NCCO_W-TP
trmD,94,1472,NCCO_W-TP
metK,96,1000,NCCO_W-TP
prs,97,1218,NCCO_W-TP
recQ,107,6,NCCO-FP
nuoC,121,30,NCCO-FP
talB,129,27,NCCO-FP
yadG,145,89,NCCO-FP
polA,146,81,NCCO-FP
ycbX,160,41,NCCO-FP
msrC,163,94,NCCO-FP
otsA,183,67,NCCO-FP
rpmG,195,92,NCCO-FP
sucC,196,7,NCCO-FP
pgm,204,12,NCCO-FP
ybbN,219,99,NCCO-FP
rlmF,227,45,NCCO-FP
moeA,230,61,NCCO-FP
glmM,233,75,NCCO-FP
mutS,253,9,NCCO-FP
panB,256,84,NCCO-FP
sucB,257,16,NCCO-FP
glsA1,266,96,NCCO-FP
rplK,276,28,NCCO-FP
xthA,285,49,NCCO-FP
carB,286,55,NCCO-FP
thrC,288,58,NCCO-FP
yejF,289,64,NCCO-FP
purL,294,38,NCCO-FP
mutL,295,47,NCCO-FP
uvrD,300,88,NCCO-FP
sucA,325,23,NCCO-FP
moaA,331,69,NCCO-FP
nuoG,333,51,NCCO-FP
tpiA,336,20,NCCO-FP
ydfG,359,40,NCCO-FP
yqaB,367,57,NCCO-FP
trxA,368,39,NCCO-FP
yniA,370,68,NCCO-FP
pepN,379,60,NCCO-FP
yigB,381,91,NCCO-FP
panC,390,85,NCCO-FP
wrbA,468,87,NCCO-FP
tktB,494,71,NCCO-FP
ushA,495,62,NCCO-FP
sucD,499,29,NCCO-FP
yqeF,509,97,NCCO-FP
ydgJ,511,98,NCCO-FP
mnmE,549,46,NCCO-FP
nadC,582,79,NCCO-FP
lldD,583,42,NCCO-FP
yicI,586,54,NCCO-FP
pepP,587,35,NCCO-FP
ypeA,623,90,NCCO-FP
ndh,645,73,NCCO-FP
pqqL,646,100,NCCO-FP
yjiA,647,66,NCCO-FP
yrdA,649,86,NCCO-FP
phoA,684,65,NCCO-FP
proA,685,52,NCCO-FP
uacT,686,76,NCCO-FP
sdhB,1734,48,NCCO-FP
