Topall,rank
rluB,1
yfiF,2
yeeX,3
tufA,4
rlmN,5
rplA,6
rplW,7
tig,8
dnaJ,9
rpoA,10
hfq,11
rluC,12
mreB,13
rpsC,14
hupA,15
rplB,16
rne,17
groL,18
infC,19
pnp,20
csrA,21
groS,22
rpsN,23
yibL,24
rnpA,25
rpmB,26
rpsE,27
rpsB,28
hupB,29
ybeZ,30
yncE,31
ssb,32
yhbY,33
rplL,34
rpsF,35
rplS,36
rpoB,37
rplX,38
selB,39
nusG,40
rpsT,41
rpsJ,42
rlmL,43
yfbU,44
rpsA,45
clpA,46
yacL,47
rpoC,48
rpsM,49
cspD,50
ybjX,51
dps,52
rplT,53
ibpA,54
topA,55
ybgI,56
rplF,57
tgt,58
rplE,59
metK,60
rplC,61
cbpA,62
dnaQ,63
rnhA,64
rpoZ,65
rplR,66
rplO,67
pykF,68
nfi,69
lon,70
rplQ,71
rpsU,72
hypD,73
gyrA,74
lysU,75
rpoD,76
smpB,77
pcnB,78
yqjI,79
aidB,80
yjjU,81
rplP,82
rpsR,83
rpsP,84
ygiF,85
aceE,86
yjgA,87
rpsS,88
nuoC,89
gatY,90
malT,91
ybbO,92
dnaN,93
nusA,94
recJ,95
acpP,96
pgk,97
holA,98
pflB,99
rob,100
hldD,101
yadG,102
rpsO,103
fdhF,104
rpsH,105
clpB,106
add,107
gyrB,108
ibpB,109
polA,110
rpsI,111
ulaR,112
dnaA,113
hslU,114
holE,115
yfcZ,116
rlmE,117
dapD,118
fadI,119
hypC,120
gcvP,121
rraB,122
gmhB,123
nlpD,124
uspG,125
skp,126
eno,127
dcyD,128
rpmG,129
fusA,130
sucC,131
ihfA,132
yggE,133
nagB,134
ycbX,135
atpD,136
glnQ,137
cheA,138
rplN,139
yqjD,140
ompA,141
yfbR,142
ompC,143
tsaE,144
rpsK,145
ybbN,146
proC,147
gltA,148
pyrH,149
napA,150
zntA,151
argT,152
narY,153
glyQ,154
rlmF,155
infB,156
leuS,157
sbcB,158
ftsZ,159
hypE,160
panB,161
parC,162
yebV,163
yhbU,164
plsB,165
kdsA,166
moeA,167
argP,168
rraA,169
sucB,170
era,171
mobA,172
accA,173
hpt,174
speD,175
cca,176
clpX,177
cobB,178
slyD,179
grpE,180
narH,181
recD,182
rph,183
glmM,184
yfhM,185
gatZ,186
priA,187
rpmA,188
hyaA,189
hldE,190
aceF,191
atpC,192
crr,193
ftsH,194
yfaY,195
purL,196
accD,197
yicC,198
prmB,199
yjdJ,200
rpsL,201
ravA,202
phoP,203
tpiA,204
accC,205
ydfG,206
dxs,207
sohB,208
mlaF,209
ridA,210
yqhD,211
mobB,212
ppa,213
rplY,214
bepA,215
fabA,216
hemB,217
yffS,218
phnK,219
ygfK,220
sucA,221
pepN,222
fabZ,223
queA,224
ispA,225
potF,226
rplJ,227
thiG,228
aas,229
cheZ,230
mcbR,231
thrS,232
panC,233
clpP,234
fdx,235
gstB,236
tktB,237
nadE,238
ftsE,239
rsgA,240
qmcA,241
sdhC,242
trpS,243
ihfB,244
greB,245
sdhD,246
dacA,247
miaB,248
hsdS,249
yjdC,250
speC,251
sdhB,252
acpS,253
dapF,254
fdhD,255
tar,256
arpA,257
ybaY,258
preT,259
gpsA,260
fdhE,261
phnI,262
sufD,263
dksA,264
carA,265
fur,266
carB,267
galU,268
argR,269
pmbA,270
leuA,271
ydiZ,272
prfC,273
ybeD,274
gadB,275
leuD,276
fdoG,277
cadA,278
acnB,279
hybG,280
stpA,281
rmf,282
iscU,283
ftsQ,284
mukF,285
sspA,286
srlR,287
dcm,288
yafC,289
nrdD,290
yihI,291
yaeH,292
tusA,293
nudG,294
fadJ,295
leuC,296
guaC,297
cheY,298
pth,299
pdxH,300
ruvB,301
mutL,302
fdnH,303
yhfA,304
fis,305
ettA,306
nrdR,307
nadC,308
waaA,309
cheW,310
ampH,311
yniA,312
yoaB,313
glnP,314
serB,315
sucD,316
hsdM,317
rplK,318
ftnA,319
cspG,320
argG,321
sxy,322
fadH,323
hsdR,324
rimO,325
dcrB,326
yjaG,327
trxA,328
nrdA,329
yebO,330
dapB,331
gnd,332
metG,333
tatC,334
ruvA,335
rcnB,336
phnJ,337
hdeB,338
lolB,339
hisB,340
yeeR,341
dxr,342
ydcY,343
yiiM,344
hslV,345
yodD,346
rlmB,347
hda,348
mukE,349
hrpB,350
gatB,351
fliA,352
yodC,353
pepD,354
roxA,355
mutH,356
recC,357
ybiB,358
kdsB,359
purC,360
cheR,361
accB,362
cyoC,363
pepT,364
yeaO,365
tsaD,366
asmA,367
der,368
crp,369
ymfD,370
nnr,371
cysJ,372
rpoS,373
