Topall,rank
YNL064C,1
YAL005C,2
YOL077C,3
YNL112W,4
YKL009W,5
YPL090C,6
YDL014W,7
YHR170W,8
YNL061W,9
YNL132W,10
YDL060W,11
YLR175W,12
YMR290C,13
YER126C,14
YPL211W,15
YPL266W,16
YBL072C,17
YOL139C,18
YPL093W,19
YAL036C,20
YPR010C,21
YNL301C,22
YER165W,23
YKR081C,24
YCR057C,25
YNL178W,26
YOR310C,27
YPR110C,28
YJL190C,29
YLR276C,30
YOR361C,31
YCR072C,32
YNL207W,33
YNR053C,34
YMR131C,35
YOR145C,36
YMR049C,37
YDL191W,38
YLR129W,39
YPL237W,40
YMR146C,41
YGR145W,42
YEL054C,43
YJR123W,44
YNL075W,45
YFR004W,46
YPR041W,47
YLL011W,48
YER082C,49
YGR245C,50
YDL143W,51
YGR103W,52
YMR309C,53
YEL026W,54
YDR120C,55
YLR009W,56
YBR247C,57
YDR510W,58
YPR102C,59
YMR116C,60
YLR196W,61
YHL015W,62
YOR243C,63
YOR063W,64
YLR075W,65
YCL059C,66
YBL027W,67
YPL220W,68
YOL010W,69
YDR496C,70
YDR188W,71
YOR272W,72
YLR340W,73
YOR133W,74
YDR012W,75
YLR409C,76
YPR112C,77
YGL099W,78
YGL120C,79
YMR093W,80
YOR224C,81
YLR197W,82
YOL124C,83
YLR186W,84
YJR070C,85
YDL031W,86
YFL039C,87
YOR207C,88
YHR148W,89
YJL191W,90
YBR034C,91
YBR143C,92
YPL217C,93
YLR222C,94
YLL008W,95
YPL043W,96
YHR088W,97
YJL008C,98
YPL204W,99
YBR079C,100
YER025W,101
YBL076C,102
YFL002C,103
YJL033W,104
YMR308C,105
YDR091C,106
YLR406C,107
YPL086C,108
YNL088W,109
YBL092W,110
YLR259C,111
YER148W,112
YAL035W,113
YOR206W,114
YIL078W,115
YGR085C,116
YJL125C,117
YNL255C,118
YOR312C,119
YHR203C,120
YJL050W,121
YOL021C,122
YER133W,123
YDR365C,124
YHR027C,125
YOL097C,126
YNL007C,127
YMR260C,128
YBL024W,129
YGL030W,130
YJL138C,131
YDR190C,132
YJR007W,133
YLR002C,134
YPR016C,135
YBR025C,136
YDR023W,137
YHR089C,138
YHR013C,139
YNL189W,140
YIL142W,141
YBR010W,142
YDR172W,143
YLR060W,144
YPL131W,145
YIL018W,146
YLR243W,147
YDL201W,148
YDR060W,149
YER006W,150
YBR017C,151
YDR037W,152
YHR065C,153
YIL103W,154
YKR026C,155
YGL171W,156
YKL099C,157
YOR335C,158
YJR045C,159
YBR154C,160
YDR339C,161
YDR450W,162
YJL014W,163
YER131W,164
YHR128W,165
YER117W,166
YJR002W,167
YER036C,168
YOR119C,169
YDL208W,170
YHR193C,171
YPL235W,172
YBR121C,173
YOL127W,174
YLR277C,175
YAL025C,176
YMR022W,177
YNR054C,178
YPL249C-A,179
YNL030W,180
