weak_Topall,ION_W_rank,ION_rank,label
YDR510W,19,127,ION_W-TP
YER165W,24,105,ION_W-TP
YNL088W,28,104,ION_W-TP
YNL061W,34,156,ION_W-TP
YDL060W,35,162,ION_W-TP
YHR170W,36,114,ION_W-TP
YPL093W,38,159,ION_W-TP
YJR123W,41,110,ION_W-TP
YMR146C,42,115,ION_W-TP
YPL237W,44,152,ION_W-TP
YLR340W,45,165,ION_W-TP
YCR057C,48,163,ION_W-TP
YNL132W,50,195,ION_W-TP
YPR010C,54,166,ION_W-TP
YER126C,55,211,ION_W-TP
YPL211W,58,173,ION_W-TP
YPR041W,59,144,ION_W-TP
YOR361C,63,222,ION_W-TP
YNR053C,64,221,ION_W-TP
YER082C,68,230,ION_W-TP
YOR145C,69,172,ION_W-TP
YOL010W,70,157,ION_W-TP
YOR117W,71,210,ION_W-TP
YOR063W,72,231,ION_W-TP
YLR175W,73,292,ION_W-TP
YMR290C,74,301,ION_W-TP
YJR045C,76,246,ION_W-TP
YLR276C,85,254,ION_W-TP
YNL007C,88,321,ION_W-TP
YGR145W,89,290,ION_W-TP
YMR049C,91,285,ION_W-TP
YLR129W,94,268,ION_W-TP
YDR190C,96,113,ION_W-TP
YDR023W,97,112,ION_W-TP
YKR081C,100,364,ION_W-TP
YNL330C,106,29,ION-FP
YGL167C,130,28,ION-FP
YDR155C,132,79,ION-FP
YGL206C,146,96,ION-FP
YBR127C,175,61,ION-FP
YPL259C,182,54,ION-FP
YLR447C,203,86,ION-FP
YOL093W,207,94,ION-FP
YLR172C,223,76,ION-FP
YAL016W,228,95,ION-FP
YEL051W,308,9,ION-FP
YLR234W,333,38,ION-FP
YER107C,342,88,ION-FP
YPL091W,397,30,ION-FP
YPR173C,412,83,ION-FP
YPL244C,426,36,ION-FP
YBL091C,542,84,ION-FP
