Topall,rank
YGL122C,1
YAL005C,2
YPL106C,3
YLL024C,4
YLL039C,5
YNL209W,6
YPL240C,7
YNL255C,8
YHR064C,9
YBL032W,10
YNL064C,11
YNL248C,12
YOL041C,13
YNL182C,14
YMR186W,15
YPR110C,16
YDR258C,17
YMR290C,18
YJL033W,19
YBL039C,20
YKR081C,21
YLR048W,22
YNL308C,23
YNL132W,24
YHR197W,25
YDR060W,26
YOL077C,27
YNL096C,28
YDR496C,29
YLL008W,30
YER006W,31
YKR060W,32
YOR206W,33
YBR142W,34
YDR101C,35
YFL002C,36
YNL002C,37
YML073C,38
YGR145W,39
YDR449C,40
YGL099W,41
YOR294W,42
YCL059C,43
YHR052W,44
YDL031W,45
YGL120C,46
YER131W,47
YKL180W,48
YLR196W,49
YLR276C,50
YML026C,51
YMR229C,52
YCL054W,53
YLR129W,54
YPL043W,55
YDR299W,56
YMR128W,57
YOR272W,58
YGR245C,59
YDR171W,60
YPL211W,61
YER074W,62
YLR449W,63
YNL112W,64
YLR186W,65
YKL009W,66
YGR214W,67
YNL175C,68
YGL111W,69
YPL090C,70
YDR365C,71
YLL045C,72
YMR093W,73
YLR441C,74
YDL051W,75
YLR009W,76
YNR054C,77
YHR148W,78
YJL177W,79
YGR118W,80
YGR162W,81
YER127W,82
YJR002W,83
YPR144C,84
YDL060W,85
YBR084W,86
YPL146C,87
YER126C,88
YPL126W,89
YNL061W,90
YKL172W,91
YKL014C,92
YPR010C,93
YCR057C,94
YLR448W,95
YNL301C,96
YOR234C,97
YLR406C,98
YDL148C,99
YPL143W,100
YLL034C,101
YHL001W,102
YPL217C,103
YPR112C,104
YLR197W,105
YLR175W,106
YBR247C,107
YNL313C,108
YLR002C,109
YGR103W,110
YHR170W,111
YKL143W,112
YDR087C,113
YMR143W,114
YOR310C,115
YER025W,116
YNL124W,117
YLR222C,118
YMR230W,119
YER082C,120
YGR128C,121
YEL026W,122
YMR049C,123
YBR191W,124
YHR089C,125
YPL093W,126
YML093W,127
YMR309C,128
YER151C,129
YNL075W,130
YJL109C,131
YGR159C,132
YLL011W,133
YDR412W,134
YML056C,135
YOR293W,136
YDR091C,137
YNL302C,138
YCR072C,139
YNL110C,140
YCR031C,141
YNR053C,142
YAL036C,143
YER110C,144
YDR471W,145
YLR409C,146
YCR016W,147
YNL067W,148
YPL012W,149
YPR137W,150
YHL033C,151
YHR088W,152
YGL171W,153
YOR361C,154
YDR324C,155
YLR249W,156
YDL153C,157
YMR142C,158
YLR029C,159
YDL014W,160
YPL081W,161
YOL124C,162
YDR083W,163
YLL026W,164
YNL007C,165
YHR196W,166
YMR116C,167
YNR051C,168
YML024W,169
YBR079C,170
YBR048W,171
YDL083C,172
YJR145C,173
YIL127C,174
YPL220W,175
YEL054C,176
YFR004W,177
YJL050W,178
YGL078C,179
YPR041W,180
YGR187C,181
YJR094W-A,182
YLR367W,183
YDR165W,184
YBL072C,185
YMR121C,186
YJL010C,187
YIR026C,188
YLR432W,189
YER165W,190
YDR064W,191
YPL198W,192
YGL029W,193
YMR146C,194
YML063W,195
YBL027W,196
YPL237W,197
YPR102C,198
YKR024C,199
YOL010W,200
YDR120C,201
YPL086C,202
YLR221C,203
YML080W,204
YJL190C,205
YGL031C,206
YOR096W,207
YOR243C,208
YPR043W,209
YMR131C,210
YPR163C,211
YPR080W,212
YOR063W,213
YPR143W,214
YJR123W,215
YNL178W,216
YHR066W,217
YOL039W,218
YDL082W,219
YBR189W,220
YKL006W,221
YDR184C,222
YPL266W,223
YOL120C,224
YLR074C,225
YOR340C,226
YNL207W,227
YDL213C,228
YPL131W,229
YEL055C,230
YOL040C,231
YBR169C,232
YOL080C,233
YHR200W,234
YGR285C,235
YDR418W,236
YHR169W,237
YOR204W,238
YGL123W,239
YMR194W,240
YGL103W,241
YJL034W,242
YNL069C,243
YHR020W,244
YLR150W,245
YGL076C,246
YPL226W,247
YER036C,248
YCL037C,249
YJR070C,250
YLR344W,251
YDR429C,252
YKL078W,253
YDR361C,254
YDL063C,255
YOR252W,256
YDR012W,257
YOR145C,258
YFR031C-A,259
YMR308C,260
YLR003C,261
YDR382W,262
YLR325C,263
YOL127W,264
YDL075W,265
YLR401C,266
YOR004W,267
YLR287C-A,268
YCL031C,269
YPL249C-A,270
YNL151C,271
YBL075C,272
YLR384C,273
YIL096C,274
YOL139C,275
YGR090W,276
YLR340W,277
YDL191W,278
YJL122W,279
YPL183C,280
YLR435W,281
YGR123C,282
YFR001W,283
YCL011C,284
YHL015W,285
YBL004W,286
YLR342W,287
YGR085C,288
YLR333C,289
YCR087C-A,290
YIL133C,291
YGL246C,292
YNL141W,293
YOR369C,294
YGR027C,295
YHR085W,296
YJL148W,297
YOR056C,298
YKL021C,299
YMR217W,300
YMR242C,301
YOR133W,302
YBL028C,303
YNL022C,304
YGR200C,305
YBL092W,306
YGR160W,307
YBR143C,308
YJL130C,309
YLR259C,310
YOR095C,311
YGR081C,312
YBL024W,313
YGR054W,314
YJL080C,315
YAL035W,316
YKR057W,317
YJR063W,318
YGL189C,319
YJR045C,320
YFR032C-A,321
YDL081C,322
YGL147C,323
YJL125C,324
YDR432W,325
YDL143W,326
YKL081W,327
YDR398W,328
YNR038W,329
YJR007W,330
YGL008C,331
YKL099C,332
YPR169W,333
YAL025C,334
YOL144W,335
YHR216W,336
YGL030W,337
YDL201W,338
YBR034C,339
YFL039C,340
YOL022C,341
YMR239C,342
YPR016C,343
YLR264W,344
YNL200C,345
YFL034C-A,346
YLR075W,347
YJL069C,348
YNR012W,349
YLR388W,350
YBR154C,351
YJL191W,352
YLR185W,353
YMR310C,354
YJL138C,355
YKR056W,356
YDR161W,357
YDR465C,358
YLR372W,359
YLR180W,360
YMR012W,361
YNL062C,362
YBR267W,363
YMR214W,364
YBR121C,365
YIL019W,366
YBL076C,367
YDL150W,368
YBR271W,369
YDR174W,370
YJL008C,371
YDR510W,372
YGR173W,373
YML074C,374
YGL195W,375
YKL181W,376
YLR106C,377
YAR073W,378
YER056C-A,379
YLR051C,380
YDR188W,381
YPR190C,382
YOR309C,383
YMR014W,384
YKR094C,385
YJR041C,386
YBL087C,387
YPR152C,388
YIL078W,389
YHR010W,390
YNL163C,391
YGR283C,392
YHR027C,393
YKR025W,394
YGR264C,395
YLL023C,396
YLR083C,397
YHR128W,398
YGR148C,399
YIL087C,400
YDR381W,401
YOR078W,402
YOL097C,403
YNL119W,404
YKR076W,405
YOL086C,406
YIR012W,407
YGL049C,408
YOR001W,409
YGR280C,410
YDL182W,411
YLR068W,412
YNL274C,413
YPR187W,414
YLR336C,415
YJL098W,416
YPL204W,417
YGL014W,418
YIL103W,419
YDR023W,420
YHR069C,421
YKR092C,422
YDL131W,423
YFR034C,424
YBL054W,425
YBR017C,426
YNL162W,427
YDR021W,428
YNL174W,429
YJL014W,430
YMR110C,431
YOR224C,432
YBR061C,433
YBR198C,434
YNL256W,435
YBL030C,436
YML010W,437
YDR507C,438
YNL113W,439
YDR194C,440
YIL110W,441
YDL166C,442
YDR190C,443
YLR243W,444
YKL144C,445
YBR155W,446
YHR065C,447
YLR061W,448
YHR193C,449
YOR119C,450
YJR008W,451
YKL056C,452
YHL011C,453
YDL208W,454
YML022W,455
YJL179W,456
YIL043C,457
YIL035C,458
YOR117W,459
YAL059W,460
YCR034W,461
YOR061W,462
YOR091W,463
YHR183W,464
YBL003C,465
YKL191W,466
YER049W,467
YOR207C,468
YDL171C,469
YMR260C,470
YBR031W,471
YOR048C,472
YKL082C,473
YPR074C,474
YKL182W,475
YDL167C,476
YOR276W,477
YMR090W,478
YDR172W,479
YHR019C,480
YNL227C,481
YOR287C,482
YKL018W,483
YKR026C,484
YBR025C,485
YPR132W,486
YEL034W,487
YPL079W,488
YPR189W,489
YIL091C,490
YNL247W,491
YNR003C,492
YMR022W,493
YNL088W,494
YHL039W,495
YER148W,496
YDL061C,497
YDR500C,498
YIR038C,499
YOR198C,500
YJL164C,501
YLR167W,502
YLR198C,503
YML028W,504
YDR339C,505
YDR395W,506
YIL148W,507
YPL127C,508
YBR266C,509
YNL305C,510
YFR017C,511
YIL124W,512
YDL108W,513
YLR017W,514
YLR146C,515
YLR355C,516
YKR079C,517
YOR341W,518
YLR356W,519
YBR177C,520
YOR151C,521
YLR397C,522
YPL044C,523
YNL005C,524
YDR312W,525
YPL031C,526
YIR010W,527
YNL114C,528
YOR116C,529
YAL038W,530
YPL235W,531
YIL052C,532
YEL050C,533
YHL021C,534
YNL030W,535
YKL156W,536
YGR192C,537
YBR238C,538
YDR322W,539
YNL292W,540
YGL112C,541
YPR086W,542
YOL012C,543
YKL060C,544
YLR347C,545
YPL004C,546
YHR013C,547
YBR011C,548
YMR236W,549
YBR072W,550
YKL067W,551
YKL151C,552
YNL189W,553
YIL142W,554
YJL063C,555
YAL003W,556
YLR055C,557
YER054C,558
YOL021C,559
YDL140C,560
YDR502C,561
YKL152C,562
YLR192C,563
YPL160W,564
YPL037C,565
YGR130C,566
YPR052C,567
YHL034C,568
YMR105C,569
YGR204W,570
YJR009C,571
YDR041W,572
YOL006C,573
YBR106W,574
YDR224C,575
YML106W,576
YOL125W,577
YER177W,578
YOR173W,579
YHR104W,580
YPL087W,581
YHR121W,582
YDL185W,583
YER048C,584
YNR046W,585
YNL281W,586
YHR087W,587
YBR214W,588
YLR044C,589
YKR048C,590
YLR258W,591
YOR021C,592
YML128C,593
YGR155W,594
YPR069C,595
YOL092W,596
YDL055C,597
YGL055W,598
YJL136C,599
YDL130W,600
YPL186C,601
YJL076W,602
YFL037W,603
YNL055C,604
YER002W,605
YLR060W,606
YGL173C,607
YJR124C,608
YOR182C,609
YOR153W,610
YDR212W,611
YNL004W,612
YER164W,613
YPL207W,614
YFL023W,615
YOR187W,616
YEL017C-A,617
YOR167C,618
YNL153C,619
YKL150W,620
YPL263C,621
YPL212C,622
YLR149C,623
YGR252W,624
YFL014W,625
YIL125W,626
YML048W,627
YMR315W,628
YDR280W,629
YHR147C,630
YDR019C,631
YMR072W,632
YER043C,633
YDR115W,634
YLR063W,635
YCR012W,636
YNL306W,637
YOR289W,638
YHR174W,639
YKR046C,640
YDL053C,641
YBR160W,642
YPL178W,643
YDR231C,644
YGR240C,645
YGR083C,646
YMR223W,647
YLR293C,648
YLR178C,649
YOR260W,650
YJL171C,651
YLR287C,652
YGL245W,653
YER007C-A,654
YDR225W,655
YOR146W,656
YDR099W,657
YCR051W,658
YKL104C,659
YBR230C,660
YML065W,661
YOR335C,662
YIL136W,663
YPL061W,664
YDR494W,665
YPL231W,666
YBL002W,667
YML043C,668
YMR205C,669
YHR021C,670
YLR383W,671
YGR158C,672
YGL207W,673
YJL208C,674
YGR094W,675
YDR032C,676
YDR127W,677
YDR170C,678
YPR162C,679
YPR067W,680
YHR143W-A,681
YDL192W,682
YDR341C,683
YLR270W,684
YHR062C,685
YBR010W,686
YGR248W,687
YER086W,688
YJR096W,689
YOR168W,690
YHL030W,691
YGR105W,692
YJR121W,693
YKL029C,694
YJR077C,695
YDL126C,696
YBR126C,697
YNR016C,698
YBL064C,699
YDR276C,700
YKR039W,701
YGR234W,702
YIL177C,703
YJL111W,704
YJL198W,705
YLR200W,706
YGL097W,707
YGR086C,708
YIL107C,709
YPL042C,710
YDR237W,711
YGR254W,712
YLR253W,713
YKL065C,714
YGL019W,715
YAR007C,716
YDL204W,717
YHR099W,718
YGL037C,719
YOR283W,720
YOR006C,721
YDL124W,722
YLR052W,723
YAL053W,724
YMR091C,725
YMR189W,726
YDR070C,727
YML100W,728
YJL189W,729
YER156C,730
YBR081C,731
YLL035W,732
YLR153C,733
YJL052W,734
YPL137C,735
YGR088W,736
YER125W,737
YKL103C,738
YLL036C,739
YDR476C,740
YOR338W,741
YPL199C,742
YLR418C,743
YPR082C,744
YBR196C,745
YGR156W,746
YBR194W,747
YBL068W,748
YHR029C,749
YKL212W,750
YJL016W,751
YBR183W,752
YCR047C,753
