weak_Topall,JDC_W_rank,JDC_rank,label
YNL124W,39,117,JDC_W-TP
YER082C,50,120,JDC_W-TP
YPL217C,52,103,JDC_W-TP
YJL109C,53,131,JDC_W-TP
YDR087C,55,113,JDC_W-TP
YNL313C,57,108,JDC_W-TP
YLL034C,58,101,JDC_W-TP
YDR412W,61,134,JDC_W-TP
YPR112C,62,104,JDC_W-TP
YML093W,65,127,JDC_W-TP
YGR128C,66,121,JDC_W-TP
YPR041W,67,180,JDC_W-TP
YBL004W,68,286,JDC_W-TP
YCR072C,71,139,JDC_W-TP
YHR196W,72,166,JDC_W-TP
YPL266W,73,223,JDC_W-TP
YPR137W,74,150,JDC_W-TP
YNL207W,75,227,JDC_W-TP
YCL031C,76,269,JDC_W-TP
YLR409C,78,146,JDC_W-TP
YDR324C,80,155,JDC_W-TP
YGL171W,83,153,JDC_W-TP
YPR143W,84,214,JDC_W-TP
YGL029W,91,193,JDC_W-TP
YOL010W,93,200,JDC_W-TP
YJL010C,96,187,JDC_W-TP
YJL050W,99,178,JDC_W-TP
YJR007W,100,330,JDC_W-TP
YNL209W,131,6,JDC-FP
YHR064C,151,9,JDC-FP
YBR084W,171,86,JDC-FP
YNL255C,180,8,JDC-FP
YGR118W,240,80,JDC-FP
YBL039C,262,20,JDC-FP
YER131W,276,47,JDC-FP
YPL090C,287,70,JDC-FP
YJL177W,289,79,JDC-FP
YLL024C,301,4,JDC-FP
YNL096C,302,28,JDC-FP
YLR048W,331,22,JDC-FP
YLR441C,337,74,JDC-FP
YPL106C,342,3,JDC-FP
YGR214W,356,67,JDC-FP
YLL039C,359,5,JDC-FP
YER074W,372,62,JDC-FP
YLL045C,382,72,JDC-FP
YOR234C,387,97,JDC-FP
YNL301C,401,96,JDC-FP
YLR448W,406,95,JDC-FP
YML073C,436,38,JDC-FP
YML026C,462,51,JDC-FP
YLR406C,516,98,JDC-FP
YNL064C,592,11,JDC-FP
YKL009W,602,66,JDC-FP
YPL240C,621,7,JDC-FP
YDR258C,686,17,JDC-FP
YMR186W,716,15,JDC-FP
YBL032W,743,10,JDC-FP
YDR171W,768,60,JDC-FP
