Topall,rank
YAL005C,1
YNL064C,2
YFR004W,3
YDR510W,4
YOL077C,5
YPL090C,6
YNL112W,7
YNL301C,8
YBL072C,9
YNL007C,10
YHR027C,11
YLR259C,12
YOL139C,13
YDL014W,14
YKL009W,15
YNL178W,16
YFL039C,17
YJL008C,18
YDL143W,19
YAL036C,20
YNL132W,21
YER165W,22
YJL190C,23
YHR203C,24
YPR010C,25
YEL054C,26
YNL061W,27
YLR175W,28
YMR290C,29
YOR312C,30
YER126C,31
YDL060W,32
YJR045C,33
YPR102C,34
YDR188W,35
YKR081C,36
YHL015W,37
YPL211W,38
YHR170W,39
YPL093W,40
YPL266W,41
YOR133W,42
YJR123W,43
YNL088W,44
YDL191W,45
YMR146C,46
YPR110C,47
YER133W,48
YLR075W,49
YBL027W,50
YPL237W,51
YOR361C,52
YLR340W,53
YPL220W,54
YNL207W,55
YLR276C,56
YOR310C,57
YNR053C,58
YCR057C,59
YGR145W,60
YCR072C,61
YDR012W,62
YIL018W,63
YMR049C,64
YER082C,65
YDR450W,66
YOR145C,67
YMR116C,68
YOR117W,69
YOR063W,70
YNL255C,71
YMR309C,72
YLR129W,73
YBL076C,74
YLR406C,75
YNL030W,76
YPR041W,77
YJL191W,78
YEL026W,79
YER117W,80
YGR103W,81
YLL011W,82
YMR131C,83
YGL120C,84
YNL075W,85
YBR010W,86
YBR247C,87
YGR245C,88
YDR496C,89
YCL059C,90
YLR196W,91
YOL010W,92
YER148W,93
YDR120C,94
YDL031W,95
YGL099W,96
YOR272W,97
YPL204W,98
YER025W,99
YLR009W,100
YLR197W,101
YIL078W,102
YPL106C,103
YAL035W,104
YMR093W,105
YPR112C,106
YOR224C,107
YGL030W,108
YGR085C,109
YJL033W,110
YLR409C,111
YNL189W,112
YOR243C,113
YBR079C,114
YLR186W,115
YBL092W,116
YFL002C,117
YOR207C,118
YJL138C,119
YBR025C,120
YBR143C,121
YHR148W,122
YLL008W,123
YHR200W,124
YKL067W,125
YDL040C,126
YDR190C,127
YPL217C,128
YMR308C,129
YJR070C,130
YOL124C,131
YPL043W,132
YDR023W,133
YHR088W,134
YDR172W,135
YBR034C,136
YJL014W,137
YDR365C,138
YOL006C,139
YER131W,140
YGR034W,141
YDR091C,142
YLR222C,143
YJR007W,144
YFL037W,145
YDR060W,146
YIL142W,147
YHR013C,148
YMR022W,149
YOR244W,150
YPL131W,151
YMR260C,152
