weak_Topall,NCCO_W_rank,NCCO_rank,label
YOR224C,51,107,NCCO_W-TP
YNL189W,53,112,NCCO_W-TP
YOR207C,54,118,NCCO_W-TP
YIL078W,61,102,NCCO_W-TP
YFL037W,65,145,NCCO_W-TP
YIL142W,66,147,NCCO_W-TP
YBR109C,78,205,NCCO_W-TP
YOL021C,79,206,NCCO_W-TP
YDR172W,80,135,NCCO_W-TP
YLR277C,83,176,NCCO_W-TP
YOR244W,87,150,NCCO_W-TP
YML085C,92,236,NCCO_W-TP
YDR190C,95,127,NCCO_W-TP
YDR023W,96,133,NCCO_W-TP
YGR094W,97,203,NCCO_W-TP
YCR012W,99,169,NCCO_W-TP
YDR450W,133,66,NCCO-FP
YDR496C,173,89,NCCO-FP
YLR406C,205,75,NCCO-FP
YAL005C,312,1,NCCO-FP
YNL255C,454,71,NCCO-FP
