Topall,rank
YGL122C,1
YAL005C,2
YPL106C,3
YNL209W,4
YNL255C,5
YBL032W,6
YNL064C,7
YHR064C,8
YLR048W,9
YML073C,10
YNL096C,11
YML026C,12
YOL041C,13
YER131W,14
YKL180W,15
YGR214W,16
YDR171W,17
YGR118W,18
YPL090C,19
YMR143W,20
YLL045C,21
YOL077C,22
YER074W,23
YNL067W,24
YLR406C,25
YBL039C,26
YHL001W,27
YNL301C,28
YNL248C,29
YDR060W,30
YJL177W,31
YNL302C,32
YKR081C,33
YLR441C,34
YMR230W,35
YJL033W,36
YBR191W,37
YGL120C,38
YLR448W,39
YDR471W,40
YPL143W,41
YOR234C,42
YNL182C,43
YCR031C,44
YNL308C,45
YPR110C,46
YLR175W,47
YMR290C,48
YNL002C,49
YAL036C,50
YBR048W,51
YML024W,52
YMR142C,53
YNL132W,54
YOR293W,55
YFL002C,56
YGR252W,57
YOR310C,58
YLR029C,59
YER006W,60
YER025W,61
YJR145C,62
YLR197W,63
YKL014C,64
YKL009W,65
YPR010C,66
YNL112W,67
YHR089C,68
YKR060W,69
YIR010W,70
YMR229C,71
YBR142W,72
YLR002C,73
YHR197W,74
YBR084W,75
YDR496C,76
YEL026W,77
YER126C,78
YDR449C,79
YLL008W,80
YPR080W,81
YHL033C,82
YCL059C,83
YLR196W,84
YPR102C,85
YLR287C-A,86
YGR103W,87
YGL031C,88
YPL081W,89
YPL220W,90
YNL110C,91
YPL211W,92
YDR101C,93
YLR276C,94
YMR309C,95
YDL031W,96
YNL175C,97
YOR206W,98
YGL099W,99
YER151C,100
YOR272W,101
YLR249W,102
YOR096W,103
YDR365C,104
YDL014W,105
YLR449W,106
YHR052W,107
YML063W,108
YOR294W,109
YEL054C,110
YNL061W,111
YMR121C,112
YMR128W,113
YDR091C,114
YBL072C,115
YGR145W,116
YDR299W,117
YKL006W,118
YNR051C,119
YDL060W,120
YER110C,121
YBL027W,122
YMR049C,123
YJR094W-A,124
YGR159C,125
YCL054W,126
YGR162W,127
YPL198W,128
YML056C,129
YPL012W,130
YML065W,131
YMR116C,132
YNL124W,133
YOR361C,134
YPL043W,135
YLR367W,136
YKL172W,137
YPR043W,138
YDL051W,139
YJL008C,140
YHR170W,141
YLR186W,142
YBR079C,143
YPL093W,144
YDL083C,145
YMR242C,146
YLR129W,147
YNR053C,148
YER165W,149
YJR002W,150
YNR054C,151
YPL146C,152
YJR123W,153
YLR344W,154
YOL039W,155
YNL178W,156
YBR247C,157
YGL111W,158
YMR146C,159
YLR432W,160
YGR245C,161
YBR169C,162
YJL130C,163
YFR031C-A,164
YDL143W,165
YMR093W,166
YHR148W,167
YDR064W,168
YBR189W,169
YGL147C,170
YDL148C,171
YER082C,172
YPL126W,173
YPL217C,174
YOR145C,175
YPR144C,176
YPL237W,177
YGL030W,178
YOR063W,179
YMR194W,180
YLR340W,181
YLR325C,182
YBR031W,183
YHR088W,184
YLL011W,185
YDR087C,186
YER127W,187
YOL139C,188
YNL313C,189
YPL131W,190
YDL082W,191
YNL075W,192
YJL109C,193
YOR204W,194
YOL120C,195
YJL190C,196
YDL075W,197
YLL034C,198
YCR057C,199
YDR418W,200
YOL127W,201
YIL133C,202
YNL069C,203
YLR009W,204
YGR285C,205
YDR412W,206
YPL226W,207
YGL103W,208
YGL189C,209
YLR150W,210
YOR369C,211
YER036C,212
YNL088W,213
YGL076C,214
YGL123W,215
YOL040C,216
YLR222C,217
YMR214W,218
YAL035W,219
YFL039C,220
YDL153C,221
YDR382W,222
YGL195W,223
YMR012W,224
YDR012W,225
YLR075W,226
YJL191W,227
YPR112C,228
YKR057W,229
YPR163C,230
YGR027C,231
YKL143W,232
YLR333C,233
YHL015W,234
YGR085C,235
YCL037C,236
YCR016W,237
YPL249C-A,238
YDL081C,239
YJL179W,240
YBL092W,241
YHR010W,242
YML093W,243
YDR429C,244
YLR074C,245
YDR174W,246
YGR128C,247
YGR090W,248
YDL191W,249
YHR020W,250
YPR152C,251
YEL055C,252
YPR041W,253
YHR216W,254
YDR432W,255
YJL080C,256
YLR342W,257
YFR032C-A,258
YCR072C,259
YHR196W,260
YFL034C-A,261
YAR073W,262
YFR001W,263
YML010W,264
YDR188W,265
YMR308C,266
YBL004W,267
YNL200C,268
YPR189W,269
YCL011C,270
YPR137W,271
YGR054W,272
YNL207W,273
YDR194C,274
YCL031C,275
YLR409C,276
YGL246C,277
YDL213C,278
YDR324C,279
YBL087C,280
YPL266W,281
YOR198C,282
YOR133W,283
YGL014W,284
YIL127C,285
YBL076C,286
YLR221C,287
YGL008C,288
YLR185W,289
YPR016C,290
YJL138C,291
YER056C-A,292
YGL171W,293
YOR056C,294
YGL049C,295
YPR143W,296
YLR388W,297
YOL006C,298
YBR143C,299
YGR187C,300
YCR087C-A,301
YDR507C,302
YHR066W,303
YKL081W,304
YDR083W,305
YLR264W,306
YGL029W,307
YJR070C,308
YOL124C,309
YOL010W,310
YGL078C,311
YDL040C,312
YGR148C,313
YMR131C,314
YLR106C,315
YMR217W,316
YLR003C,317
YFR034C,318
YBR198C,319
YLR384C,320
YMR236W,321
YJL010C,322
YIR026C,323
YIL087C,324
YKL018W,325
YDR165W,326
YJL050W,327
YPR169W,328
YOL080C,329
YBR017C,330
YKR024C,331
YJL122W,332
YBR081C,333
YKR094C,334
YJR007W,335
YML080W,336
YDL131W,337
YPL031C,338
YOR252W,339
YOR309C,340
YIL043C,341
YER048C,342
YDR184C,343
YDR120C,344
YML074C,345
YLR401C,346
YHR029C,347
YOR243C,348
YLR180W,349
YHR085W,350
YEL034W,351
YGL112C,352
YBR121C,353
YHR193C,354
YGR081C,355
YDL182W,356
YOR004W,357
YGR123C,358
YDR361C,359
YDL171C,360
YOR340C,361
YDR314C,362
YPL086C,363
YJL014W,364
YIL078W,365
YIL019W,366
YNL162W,367
YNL141W,368
YKL021C,369
YDL140C,370
YLR083C,371
YJR008W,372
YLR372W,373
YOL086C,374
YMR223W,375
YNL113W,376
YNL274C,377
YDL061C,378
YJL148W,379
YBR154C,380
YKL099C,381
YPR190C,382
YDR190C,383
YDL063C,384
YKR056W,385
YGR264C,386
YHR013C,387
YPL183C,388
YJR063W,389
YLR383W,390
YNL151C,391
YKL078W,392
YER148W,393
YHR121W,394
YDR023W,395
YMR022W,396
YBR177C,397
YDR500C,398
YHR169W,399
YDL208W,400
YLR055C,401
YOR048C,402
YPR187W,403
YKL181W,404
YPL079W,405
YJR041C,406
YDL108W,407
YBL024W,408
YPL204W,409
YHL011C,410
YPL037C,411
YPR132W,412
YDR465C,413
YBL028C,414
YDR145W,415
YDL201W,416
YOR095C,417
YIL096C,418
YCR034W,419
YLR146C,420
YLR051C,421
YER164W,422
YNL062C,423
YGR160W,424
YKR076W,425
YBL030C,426
YLR435W,427
YPL235W,428
YNL163C,429
YHR128W,430
YMR110C,431
YOL144W,432
YPR069C,433
YBR025C,434
YLR167W,435
YIL035C,436
YIR012W,437
YHR183W,438
YOL097C,439
YNL005C,440
YHL021C,441
YOR224C,442
YNR038W,443
YLR061W,444
YNL174W,445
YNL022C,446
YOR151C,447
YDR398W,448
YGR156W,449
YPR086W,450
YDR161W,451
YGR280C,452
YKL056C,453
YLR068W,454
YNL189W,455
YGR200C,456
YHL039W,457
YMR310C,458
YMR260C,459
YBR034C,460
YBR267W,461
YDR172W,462
YAL025C,463
YPL087W,464
YOR207C,465
YJL125C,466
YHR065C,467
YJL069C,468
YOL022C,469
YBR010W,470
YNR012W,471
YOR061W,472
YOR001W,473
YMR239C,474
YOR021C,475
YLR192C,476
YPR025C,477
YOR182C,478
YLR355C,479
YPL082C,480
YDR448W,481
YOR276W,482
YMR090W,483
YGR173W,484
YML022W,485
YOR078W,486
YIL177C,487
YAL038W,488
YBL002W,489
YDR339C,490
YDL150W,491
YKR048C,492
YKL060C,493
YNL281W,494
YBL054W,495
YHR099W,496
YKL151C,497
YBR160W,498
YGR192C,499
YBR271W,500
YDL184C,501
YKL156W,502
YDL167C,503
YKL191W,504
YNL305C,505
YIR038C,506
YNL119W,507
YDL074C,508
YIL052C,509
YEL017C-A,510
YIL124W,511
YLR336C,512
YIR004W,513
YPR162C,514
YOR244W,515
YBR263W,516
YFR028C,517
YAR007C,518
YGR283C,519
YLR356W,520
YJL164C,521
YFR017C,522
YOR341W,523
YJL076W,524
YBR266C,525
YGR201C,526
YMR014W,527
YPL042C,528
YPL160W,529
YNL114C,530
YBR011C,531
YPL044C,532
YAL059W,533
YER177W,534
YBR155W,535
YKR025W,536
YIL142W,537
YLR243W,538
YCL014W,539
YDL166C,540
YJL098W,541
YNR003C,542
YDL185W,543
YOR119C,544
YGL066W,545
YEL050C,546
YDR019C,547
YGL071W,548
YIL103W,549
YHR069C,550
YKR092C,551
YLR198C,552
YIL110W,553
YBR238C,554
YFL037W,555
YKR008W,556
YDR195W,557
YAL003W,558
YBR072W,559
YLR347C,560
YOR091W,561
YPL199C,562
YDR322W,563
YBR214W,564
YBR106W,565
YGL137W,566
YLL066C,567
YPL254W,568
YKR079C,569
YJL115W,570
YJL063C,571
YMR075W,572
YMR098C,573
YDR502C,574
YNL256W,575
YJL136C,576
YDR312W,577
YGL150C,578
YOR289W,579
YBR061C,580
YOR338W,581
YJL208C,582
YKL082C,583
YHR019C,584
YDR021W,585
YER049W,586
YER007C-A,587
YDR212W,588
YGR204W,589
YMR037C,590
YPR074C,591
YDR276C,592
YJL225C,593
YGR049W,594
YDR127W,595
YGL237C,596
YDL042C,597
YBR183W,598
YOR153W,599
YMR130W,600
YBR245C,601
YLL067C,602
YNL306W,603
YGR274C,604
YPL178W,605
YNL227C,606
YOR262W,607
YLL004W,608
YPR018W,609
YDR041W,610
YML133C,611
YFR037C,612
YMR315W,613
YGL245W,614
YLL036C,615
YLR033W,616
YKL144C,617
YNL004W,618
YGR155W,619
YKL104C,620
YOR116C,621
YIR035C,622
YOR304W,623
YJL171C,624
YJL168C,625
YLR044C,626
YNL247W,627
YHR058C,628
YDL157C,629
YMR091C,630
YKR039W,631
YNL216W,632
YDL130W,633
YPL207W,634
YKL062W,635
YLR277C,636
YHR080C,637
YDR170C,638
YDL126C,639
YDL055C,640
YIL126W,641
YOR254C,642
YPL103C,643
YNL153C,644
YDR395W,645
YKR026C,646
YER086W,647
YLR111W,648
YLR182W,649
YCL025C,650
YHR174W,651
YMR205C,652
YPL004C,653
YIL009W,654
YPL129W,655
YOR283W,656
YKL029C,657
YML106W,658
YPR011C,659
YOR287C,660
YIL091C,661
YEL063C,662
YLR017W,663
YPR204W,664
YHR001W,665
YMR226C,666
YNL206C,667
YNR016C,668
YPL159C,669
YBL049W,670
YOR081C,671
YCL010C,672
YLR287C,673
YOR189W,674
YOR038C,675
YPL263C,676
YMR189W,677
YPL231W,678
YER125W,679
YMR272C,680
YNR046W,681
YCR051W,682
YCR090C,683
YOR167C,684
YLR454W,685
YDR167W,686
YKR046C,687
YHR140W,688
YHR147C,689
YGR086C,690
YKL212W,691
YHR087W,692
YHR021C,693
YJL111W,694
YDR392W,695
YDR349C,696
YLR065C,697
YML123C,698
YEL002C,699
YDR233C,700
YLR357W,701
YML127W,702
YLR397C,703
YLR375W,704
YGL019W,705
YJL002C,706
YDR494W,707
YIL075C,708
YNL339C,709
YML012W,710
YGR254W,711
YDR210W,712
YPL009C,713
YBR283C,714
YDL124W,715
YGL133W,716
YGL097W,717
YLR060W,718
YCR059C,719
YMR005W,720
YAL053W,721
YOL056W,722
YMR149W,723
YPL137C,724
YGR094W,725
YLL044W,726
YJL189W,727
YDR303C,728
YDR297W,729
YDR235W,730
YHR104W,731
YMR105C,732
YDR115W,733
YDL192W,734
YKL065C,735
YLR200W,736
YDL212W,737
YBR006W,738
YOL092W,739
YDR477W,740
YEL022W,741
YNL292W,742
YCR052W,743
YMR033W,744
YLR274W,745
YAR002C-A,746
YLR063W,747
YBL014C,748
YMR123W,749
YML125C,750
YGL048C,751
YPL047W,752
YKL139W,753
